Route,Role,Location,count
North,Climber,8600m N.E. Ridge,11
North,Climber,Hillary Step,7
North,Climber,8500m N.E. Ridge,6
North,Climber,7000m Below North Col,5
North,Climber,8700m N.E. Ridge,5
North,Climber,N.E. Ridge,5
North,Climber,7800m N.E. Ridge,3
North,Climber,8200m N.E. Ridge,3
North,Climber,8750m N.E. Ridge,3
North,Climber,Base Camp North Side,3
North,Climber,Hornbein Couloir,3
North,Climber,7000m North Col,2
North,Climber,7700m S.W. Face N.E. Ridge,2
North,Climber,7900m N.E. Ridge,2
North,Climber,8300m N.E. Ridge,2
North,Climber,8400m N.E. Ridge,2
North,Climber,8650m N.E. Ridge,2
North,Climber,En route to base camp near the Tibetan village of Kampa Dzong,2
North,Climber,4700m N.E. Ridge,1
North,Climber,6238m N.E. Ridge,1
North,Climber,6400m Below North Col,1
North,Climber,7000m 6800m North Col,1
North,Climber,7000m 6800m North Col Flank,1
North,Climber,7300m N.E. Ridge,1
North,Climber,7400m N.E. Ridge,1
North,Climber,7850m N.E. Ridge,1
North,Climber,8000m N.E. Ridge,1
North,Climber,8300m N.E. Ridge N.E. Ridge,1
North,Climber,8300m North Face Great Couloir,1
North,Climber,8350m N.E.,1
North,Climber,8500m N.E.,1
North,Climber,8700m N.E.,1
North,Climber,8700m North Summit,1
North,Climber,8700m Norton Couloir,1
North,Climber,8800m N.E. Ridge N.E. Ridge,1
North,Climber,At 100m above ABC on north side (at about 6500m),1
North,Climber,Camp III 8200m N.E. Ridge,1
North,Climber,N.E. Ridge 8750m,1
North,Climber,North Face,1
North,Climber,Tibet side at 8600m after summiting,1
North,Nepalese,7000m Below North Col,8
North,Nepalese,Base Camp North Side,2
North,Nepalese,N.E. Ridge,2
North,Nepalese,5500m N.E. Ridge,1
North,Nepalese,8300m N.E. Ridge,1
North,Nepalese,8550m N.E. Ridge,1
North,Nepalese,Hillary Step,1
South,Climber,Balcony,13
South,Climber,Base Camp,13
South,Climber,Khumbu Icefall,8
South,Climber,7900m South Col,7
South,Climber,Camp IV,7
South,Climber,Near Summit S.E. Ridge,7
South,Climber,7400m Lhotse Face,4
South,Climber,Camp II,3
South,Climber,South Summit,3
South,Climber,6900m W. Cwm,2
South,Climber,8400m S.E. Ridge,2
South,Climber,8450m S.E. Ridge,2
South,Climber,8500m S.E. Ridge,2
South,Climber,4600m S.E. Ridge,1
South,Climber,5500m S.E. Ridge,1
South,Climber,6150m S.E. Ridge,1
South,Climber,7010m S.E. Ridge,1
South,Climber,7200m South Col,1
South,Climber,7315m S.E. Ridge,1
South,Climber,7900m Near South Col,1
South,Climber,7900m South Col / Camp IV,1
South,Climber,7900m South Col Camp,1
South,Climber,7986m S.E. Ridge,1
South,Climber,8000m Above South Col,1
South,Climber,8000m South Col,1
South,Climber,8200m S.E. Ridge,1
South,Climber,8300m S.E. Ridge,1
South,Climber,8350m South Summit,1
South,Climber,8600m S.E. Ridge,1
South,Climber,8700m S.E. Ridge,1
South,Climber,8700m South Col,1
South,Climber,8750m S.E. Ridge,1
South,Climber,Above Camp III,1
South,Climber,Above Camp IV,1
South,Climber,Around Camp III,1
South,Climber,Below Camp III,1
South,Climber,Between Camp IV and III,1
South,Climber,Camp I,1
South,Climber,Camp III,1
South,Climber,Descending from Camp IV,1
South,Climber,On descent (south side),1
South,Climber,S.E. Ridge,1
South,Nepalese,Khumbu Icefall,39
South,Nepalese,Base Camp,16
South,Nepalese,7400m Lhotse Face,4
South,Nepalese,Camp II,4
South,Nepalese,8750m S.E. Ridge,3
South,Nepalese,Camp IV,3
South,Nepalese,Near Summit S.E. Ridge,3
South,Nepalese,7700m S.W. Face,2
South,Nepalese,8000m Above South Col,2
South,Nepalese,8200m S.E. Ridge,2
South,Nepalese,8400m S.E. Ridge,2
South,Nepalese,Camp I,2
South,Nepalese,South Summit,2
South,Nepalese,6000m S.E. Ridge,1
South,Nepalese,6900m W. Cwm,1
South,Nepalese,7200m South Col,1
South,Nepalese,7900m South Col,1
South,Nepalese,8600m S.E. Ridge S.E. Ridge,1
South,Nepalese,Above Camp III,1
South,Nepalese,Base Camp S.E. Ridge,1
South,Nepalese,Base Camp following evacuation from Camp III,1
South,Nepalese,Below Base Camp,1
South,Nepalese,Between Camp I & Camp II,1
South,Nepalese,Between Camp II and Camp III on descent from Camp IV (on south side),1
South,Nepalese,Between Camps I and II in the Western Cwm,1
South,Nepalese,Camp III on south side,1
South,Nepalese,S.E. Ridge,1
West Ridge,Climber,8000m West Ridge,7
West Ridge,Climber,7200m West Ridge,4
West Ridge,Climber,6400m West Ridge,1
West Ridge,Climber,7700m West Ridge,1
West Ridge,Climber,8500m West Ridge,1
West Ridge,Climber,Lhola camp,1
West Ridge,Nepalese,6400m West Ridge,5
West Ridge,Nepalese,6770m West Ridge,1
West Ridge,Nepalese,7200m West Ridge,1
West Ridge,Nepalese,8300m West Ridge,1
